LAD22CD,AvPTAI2015
E09000001,68.39696774193548
E09000002,8.143627113924051
E09000003,8.326395933011584
E09000004,6.394709315934066
E09000005,11.742648618817851
E09000006,7.751326845098039
E09000007,28.684350560747667
E09000008,10.889318422261484
E09000009,9.923266979602511
E09000010,8.21648913038674
E09000011,10.822439365883806
E09000012,19.40053512683578
E09000013,18.580107887999997
E09000014,14.929766922974766
E09000015,7.946823423676013
E09000016,6.169383399204244
E09000017,5.691143305449937
E09000018,8.662717578991597
E09000019,25.97443609756098
E09000020,25.380625716323298
E09000021,8.391499072
E09000022,22.080235973084886
E09000023,13.94544018940248
E09000024,11.705531085536547
E09000025,13.491427755555556
E09000026,8.372330230670103
E09000027,8.562341773983741
E09000028,23.530255767077268
E09000029,8.070629886525975
E09000030,20.623041871657755
E09000031,11.159259087431694
E09000032,17.836149204684318
E09000033,37.834673512132824
