,coef,sig,P>|z|,[0.025,0.975]
Intercept,3435.395,***,0.000,3407.5,3463.2
intervention,106.695,***,0.000,91.501,121.89
time1,5.547,***,0.000,4.668,6.426
time2,-9.837,***,0.000,-10.76,-8.904
dow_1,8.069,,0.234,-5.227,21.366
dow_2,-2.514,,0.711,-15.82,10.795
dow_3,20.116,**,0.003,6.784,33.448
dow_4,-115.395,***,0.000,-128.4,-102.3
dow_5,141.866,***,0.000,128.82,154.90
dow_6,269.794,***,0.000,256.44,283.13
Rden_centered,-0.019,***,0.000,-0.027,-0.012
Sfem_centered,-4727.530,***,0.000,-6603.,-2851.
Hedu_centered,1368.601,***,0.000,747.89,1989.3
Scar_centered,-43.822,,0.832,-447.7,360.14
CarWork_centered,1934.906,***,0.000,1169.7,2700.0
Swfh_centered,-510.596,*,0.048,-1016.,-4.847
PTAI_centered,-2.170,,0.217,-5.619,1.278
intervention:Rden_centered,0.004,*,0.017,0.001,0.007
intervention:Sfem_centered,323.799,,0.424,-470.1,1117.7
intervention:Hedu_centered,-219.311,,0.102,-482.0,43.413
intervention:Scar_centered,113.089,,0.195,-57.89,284.07
intervention:CarWork_centered,97.599,,0.555,-226.2,421.47
intervention:Swfh_centered,99.153,,0.364,-114.9,313.22
intervention:PTAI_centered,0.072,,0.923,-1.388,1.531
time2:Rden_centered,-0.000,,0.127,-0.000,0.000
time2:Sfem_centered,-8.753,,0.468,-32.39,14.885
time2:Hedu_centered,-3.274,,0.412,-11.09,4.549
time2:Scar_centered,1.690,,0.515,-3.401,6.781
time2:CarWork_centered,-14.052,**,0.004,-23.69,-4.409
time2:Swfh_centered,-5.793,.,0.075,-12.16,0.581
time2:PTAI_centered,0.025,,0.263,-0.019,0.068
Group Var,0.642,***,0.000,0.584,0.700
